,Threshold,min FDP+
Fold n°1,0.2,0.6
Fold n°2,0.18000000000000002,1.0
Fold n°3,0.27,1.0
Fold n°4,0.43,1.0
Fold n°5,0.31,1.0
Fold n°6,0.26,1.0
Fold n°7,0.21000000000000002,0.3333333333333333
Fold n°8,0.4,1.0
Fold n°9,0.35000000000000003,1.0
Fold n°10,0.38,1.0
Fold n°11,0.31,1.0
Fold n°12,0.25,1.0
Fold n°13,0.36000000000000004,1.0
Fold n°14,0.25,1.0
Fold n°15,0.23,0.75
Fold n°16,0.34,1.0
Fold n°17,0.12,0.75
Fold n°18,0.29000000000000004,1.0
Fold n°19,0.32,1.0
Fold n°20,0.27,1.0
Fold n°21,0.33,1.0
Fold n°22,0.39,1.0
Fold n°23,0.3,1.0
Fold n°24,0.13,0.6153846153846154
Fold n°25,0.24000000000000002,0.5
Fold n°26,0.22,0.5
Fold n°27,0.34,1.0
Fold n°28,0.41000000000000003,1.0
Fold n°29,0.34,1.0
Fold n°30,0.27,0.5
Fold n°31,0.31,1.0
Fold n°32,0.39,1.0
Fold n°33,0.24000000000000002,1.0
Fold n°34,0.44,1.0
Fold n°35,0.21000000000000002,0.4
Fold n°36,0.4,1.0
Fold n°37,0.35000000000000003,1.0
Fold n°38,0.41000000000000003,1.0
Fold n°39,0.38,1.0
Fold n°40,0.43,1.0
Fold n°41,0.42000000000000004,1.0
Fold n°42,0.26,1.0
Fold n°43,0.27,1.0
Fold n°44,0.64,1.0
Fold n°45,0.27,1.0
Fold n°46,0.31,1.0
Fold n°47,0.44,1.0
Fold n°48,0.27,1.0
Fold n°49,0.64,1.0
Fold n°50,0.44,1.0
Fold n°51,0.25,0.5
Fold n°52,0.42000000000000004,1.0
Fold n°53,0.37,1.0
Fold n°54,0.42000000000000004,1.0
Fold n°55,0.26,1.0
Fold n°56,0.26,1.0
Fold n°57,0.26,1.0
Fold n°58,0.37,1.0
Fold n°59,0.32,1.0
Fold n°60,0.29000000000000004,1.0
Fold n°61,0.25,1.0
Fold n°62,0.23,1.0
Fold n°63,0.33,1.0
Fold n°64,0.51,1.0
Fold n°65,0.39,1.0
Fold n°66,0.19,0.75
Fold n°67,0.36000000000000004,1.0
Fold n°68,0.4,1.0
Fold n°69,0.45,1.0
Fold n°70,0.18000000000000002,1.0
Fold n°71,0.46,1.0
Fold n°72,0.19,0.6666666666666666
Fold n°73,0.29000000000000004,1.0
Fold n°74,0.3,1.0
Fold n°75,0.48000000000000004,1.0
Fold n°76,0.35000000000000003,1.0
Fold n°77,0.33,1.0
Fold n°78,0.27,1.0
Fold n°79,0.68,1.0
Fold n°80,0.12,0.9
Fold n°81,0.22,1.0
Fold n°82,0.35000000000000003,1.0
Fold n°83,0.18000000000000002,1.0
Fold n°84,0.55,1.0
Fold n°85,0.35000000000000003,1.0
Fold n°86,0.32,1.0
Fold n°87,0.4,0.5
Fold n°88,0.41000000000000003,1.0
Fold n°89,0.3,1.0
Fold n°90,0.6,1.0
Fold n°91,0.5800000000000001,1.0
Fold n°92,0.41000000000000003,1.0
Fold n°93,0.34,1.0
Fold n°94,0.08,0.95
Fold n°95,0.17,1.0
Fold n°96,0.43,1.0
Fold n°97,0.24000000000000002,1.0
Fold n°98,0.21000000000000002,0.5
Fold n°99,0.36000000000000004,1.0
Fold n°100,0.16,1.0
